restriction_set,shock,variable,h,q16,q50,q84
baseline,real_yield,real_yield,0,0.00895592736957478,0.023686463560008822,0.037571514407001086
baseline,real_yield,real_yield,1,0.012611029906346646,0.02731882827356072,0.0412305837784258
baseline,real_yield,real_yield,2,0.012473231477309981,0.027123450627391903,0.04116955365259652
baseline,real_yield,real_yield,3,0.01252510196499525,0.027164206664654238,0.041203917590537174
baseline,real_yield,real_yield,4,0.012518787354472562,0.027157875408771754,0.041198108541553154
baseline,real_yield,real_yield,5,0.012519777077546533,0.02715884779167054,0.0411989188952183
baseline,real_yield,real_yield,6,0.012519642554519903,0.027158709953065865,0.04119878601806531
baseline,real_yield,real_yield,7,0.01251966205307754,0.027158729594422205,0.04119880827347547
baseline,real_yield,real_yield,8,0.012519659312970022,0.0271587268218933,0.04119880459284164
baseline,real_yield,real_yield,9,0.01251965970350223,0.027158727206083734,0.04119880520210724
baseline,real_yield,real_yield,10,0.012519659648210007,0.02715872715350485,0.04119880510143215
baseline,real_yield,real_yield,11,0.012519659656064157,0.027158727160624167,0.041198805118059796
baseline,real_yield,real_yield,12,0.012519659654949802,0.02715872715967077,0.04119880511531487
baseline,real_yield,real_yield,13,0.012519659655108076,0.027158727159797124,0.04119880511576794
baseline,real_yield,real_yield,14,0.012519659655085592,0.027158727159780537,0.041198805115693155
baseline,real_yield,real_yield,15,0.01251965965508879,0.027158727159782695,0.0411988051157055
baseline,real_yield,real_yield,16,0.012519659655088335,0.027158727159782417,0.04119880511570346
baseline,real_yield,real_yield,17,0.0125196596550884,0.02715872715978245,0.0411988051157038
baseline,real_yield,real_yield,18,0.01251965965508839,0.027158727159782448,0.04119880511570374
baseline,real_yield,real_yield,19,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,20,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,21,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,22,0.012519659655088392,0.027158727159782448,0.04119880511570375
baseline,real_yield,real_yield,23,0.012519659655088392,0.027158727159782448,0.04119880511570375
