cluster_id,ticker,horizon,n,mean,std,hit_rate
-1,CL=F,1,127,-0.005308632244621452,0.050155372373186506,0.5275590551181102
-1,CL=F,5,126,-0.021887723999245906,0.1096178970020526,0.4523809523809524
-1,CL=F,20,120,-0.09116100459965475,0.24079952675071903,0.38333333333333336
-1,CL=F,60,113,0.04614513444623528,0.22824210327113867,0.5221238938053098
-1,GC=F,1,127,0.00020645342144064413,0.015520368778367221,0.5039370078740157
-1,GC=F,5,126,0.00444422500793232,0.0414398724353412,0.6587301587301587
-1,GC=F,20,121,0.03506240545959971,0.05614748559194331,0.71900826446281
-1,GC=F,60,113,0.09226626250108223,0.07315446649323229,0.8938053097345132
-1,GLD,1,126,0.0006460970177883411,0.014360708462556217,0.5079365079365079
-1,GLD,5,126,0.004242179916577772,0.04031317660775204,0.6587301587301587
-1,GLD,20,120,0.03469349702235452,0.05659236647275919,0.6916666666666667
-1,GLD,60,113,0.09253315068159748,0.07349580774266319,0.8938053097345132
-1,HG=F,1,127,-0.0007784338771976872,0.01594005774479995,0.4645669291338583
-1,HG=F,5,126,0.000835740723456288,0.039615811809904596,0.5793650793650794
-1,HG=F,20,121,0.008295526205127012,0.08092090997166475,0.6611570247933884
-1,HG=F,60,113,0.05589078791139776,0.09604958442554022,0.6460176991150443
-1,PA=F,1,127,0.0016094255523434438,0.04531794228064964,0.5275590551181102
-1,PA=F,5,126,-0.0012615329431598316,0.1255932203216221,0.48412698412698413
-1,PA=F,20,120,0.0325949597007266,0.14221469646857812,0.6
-1,PA=F,60,113,0.07120325514831971,0.1853670818455259,0.6283185840707964
-1,PALL,1,126,0.0013159396508121693,0.04136202090806936,0.5317460317460317
-1,PALL,5,126,-0.0007703028681092032,0.11617666553147067,0.49206349206349204
-1,PALL,20,120,0.0293146562851735,0.13048564755142475,0.6
-1,PALL,60,113,0.06259080722070212,0.18308841251260924,0.6283185840707964
-1,PL=F,1,127,-0.0008435494026875145,0.03212056685175588,0.4566929133858268
-1,PL=F,5,126,0.0018426273317906255,0.08410881333865762,0.5793650793650794
-1,PL=F,20,121,0.035763114197564276,0.14120875993216778,0.5785123966942148
-1,PL=F,60,113,0.12766929932134818,0.15585571968291662,0.7433628318584071
-1,PPLT,1,126,5.911790886785053e-06,0.03142525485963761,0.5
-1,PPLT,5,126,0.00311296762637642,0.08227375296156256,0.5873015873015873
-1,PPLT,20,120,0.033792158111082805,0.13666730560945087,0.575
-1,PPLT,60,113,0.12058330285402025,0.15661927095309247,0.7256637168141593
-1,SI=F,1,127,-0.0004746021084246846,0.03060965392989848,0.47244094488188976
-1,SI=F,5,126,0.0071920195028067095,0.08792833648182838,0.6111111111111112
-1,SI=F,20,121,0.043412633836692645,0.1317563536223397,0.6363636363636364
-1,SI=F,60,113,0.1697398322461242,0.18350975034318412,0.8141592920353983
-1,SLV,1,126,0.0009007983617601684,0.029127771761764225,0.5079365079365079
-1,SLV,5,126,0.007457294822075294,0.08617877230639522,0.6666666666666666
-1,SLV,20,120,0.04248953872590714,0.135025306474274,0.6083333333333333
-1,SLV,60,113,0.16770759975261804,0.184070331036369,0.8053097345132744
-1,^GSPC,1,126,0.00031101058254706394,0.025444523618980426,0.5793650793650794
-1,^GSPC,5,126,0.0002771610844298848,0.04544399985458926,0.6666666666666666
-1,^GSPC,20,120,0.00790023556387657,0.08395290760631328,0.725
-1,^GSPC,60,113,0.05050445981500757,0.084119605590639,0.7787610619469026
-1,^VIX,1,126,-0.0081196892023996,0.10615749120373598,0.42063492063492064
-1,^VIX,5,126,-0.023661824584919677,0.20008028536541123,0.4444444444444444
-1,^VIX,20,120,-0.025462836265837605,0.3256786390909107,0.48333333333333334
-1,^VIX,60,113,-0.1007546831772376,0.38626881654147777,0.39823008849557523
0,CL=F,1,208,-0.0015126206875133291,0.027593226875590352,0.4230769230769231
0,CL=F,5,208,-0.008384735324294745,0.05813773643731307,0.42788461538461536
0,CL=F,20,208,-0.03122024238347632,0.11400638617528831,0.39903846153846156
0,CL=F,60,208,-0.13347742433353904,0.20015047651706203,0.2692307692307692
